rank,lemma,freq_sum,n_forms,forms
1,zijn,11061329,7,is|zijn|was|ben|waren|geweest
2,ik,10006772,1,ik
3,je,9001167,1,je
4,het,7553846,2,het|t
5,de,6804437,2,de|der
6,dat,6007618,1,dat
7,een,5039260,1,een
8,hebben,5033548,8,heb|heeft|hebben|had|hebt|hadden
9,niet,4772886,1,niet
10,en,3722568,1,en
11,van,2941504,1,van
12,wat,2769802,1,wat
13,we,2691355,1,we
14,in,2588813,1,in
15,ze,2456905,1,ze
16,te,2381179,3,te|ten|ter
17,hij,2329687,1,hij
18,gaan,2148576,7,ga|gaan|gaat|ging|gegaan|gingen
19,op,2144681,1,op
20,maar,2126469,1,maar
21,er,2044255,1,er
22,kunnen,1930128,6,kan|kunnen|kunt|kon|konden|gekund
23,met,1856605,1,met
24,voor,1855375,1,voor
25,die,1846895,1,die
26,me,1761825,1,me
27,doen,1735042,6,doen|doe|gedaan|doet|deed|deden
28,als,1684935,1,als
29,moeten,1578646,4,moet|moeten|moest|moesten
30,zullen,1567901,5,zou|zal|zullen|zouden|zult
31,weet,1416916,3,weet|weten|weetje
32,willen,1401019,5,wil|willen|wilt|wou|gewild
33,goed,1390366,9,goed|beter|goede|beste|best|betere
34,komen,1385338,6,kom|komt|komen|kwam|gekomen|kwamen
35,om,1321308,1,om
36,dit,1258367,1,dit
37,mijn,1245215,3,mijn|mijne|mijnen
38,aan,1182865,1,aan
39,u,1177214,1,u
40,dan,1142535,2,dan|dans
41,naar,1132229,2,naar|nare
42,n,1131929,1,n
43,hier,1086524,1,hier
44,zo,1052236,1,zo
45,jijen,1044294,1,jij
46,zien,1029562,6,zien|zie|gezien|ziet|zag|zagen
47,geen,1020815,1,geen
48,nog,994553,1,nog
49,ja,982006,1,ja
50,hem,972927,1,hem
51,wel,958539,1,wel
52,veel,914187,4,meer|veel|meest|meeste
53,ons,903484,2,ons|onze
54,laten,893791,5,laat|laten|liet|gelaten|lieten
55,haar,873547,3,haar|haren|hare
56,denken,864479,5,denk|dacht|denken|denkt|dachten
57,nee,856003,1,nee
58,worden,840424,6,worden|wordt|werd|word|werden|geworden
59,hoe,803291,1,hoe
60,nu,792974,1,nu
61,zeggen,782333,4,zei|zeggen|zegt|zeiden
62,al,779332,2,al|alle
63,waar,773738,1,waar
64,over,746315,1,over
65,ook,734375,1,ook
66,uit,700277,1,uit
67,of,674193,1,of
68,bent,669561,1,bent
69,maken,668538,6,maken|maak|maakt|gemaakt|maakte|maakten
70,mij,666821,1,mij
71,bij,655438,1,bij
72,vinden,603376,6,vinden|vind|gevonden|vond|vindt|vonden
73,iets,583350,1,iets
74,daar,581597,1,daar
75,jullie,580766,1,jullie
76,m,567079,1,m
77,waarom,557548,1,waarom
78,deze,516044,1,deze
79,geven,505846,5,geef|geven|geeft|gaf|gegeven
80,echt,483758,2,echt|echte
81,dus,461409,1,dus
82,man,453423,3,man|mannen|mannetje
83,jouen,448182,1,jou
84,wie,444750,2,wie|wiens
85,alles,426991,1,alles
86,kijken,423292,6,kijk|kijken|kijkt|keek|gekeken|keken
87,door,417203,1,door
88,alleen,407083,1,alleen
89,s,401559,1,s
90,heel,393995,2,heel|hele
91,toch,392983,1,toch
92,krijgen,389828,6,krijgen|krijg|krijgt|kreeg|gekregen|kregen
93,nemen,385099,6,neem|nemen|neemt|nam|genomen|namen
94,weg,376436,1,weg
95,eens,371727,1,eens
96,horen,363689,6,hoor|horen|gehoord|hoorde|hoort|hoorden
97,misschien,359214,1,misschien
98,nooit,350946,1,nooit
99,zitten,349675,3,zit|zat|gezeten
100,blijven,348835,6,blijven|blijf|blijft|bleef|gebleven|bleven
101,doden,348121,6,dood|doden|gedood|dode|doodde|doodt
102,één,347833,3,één|eerste|eentje
103,nou,347555,1,nou
104,vertellen,344852,5,vertellen|vertel|verteld|vertelde|vertelden
105,terug,342296,1,terug
106,oké,341155,1,oké
107,leven,338573,7,leven|leeft|levens|leef|leefde|geleefd
108,mee,336637,1,mee
109,iemand,334231,2,iemand|iemands
110,niets,329731,1,niets
111,mens,323001,2,mensen|mens
112,houden,322530,6,houden|houdt|houd|hield|gehouden|hielden
113,twee,314763,3,twee|tweede|tweeën
114,mogen,314531,5,mag|mogen|mocht|moge|mochten
115,toen,312964,1,toen
116,tijd,308226,3,tijd|tijdje|tijden
117,gewoon,306683,2,gewoon|gewone
118,even,305017,1,even
119,nodig,291351,1,nodig
120,dag,291183,2,dag|dagen
121,tot,288727,1,tot
122,ander,284254,3,andere|ander|anderen
123,helpen,276789,5,helpen|help|helpt|geholpen|hielp
124,weer,276186,1,weer
125,net,266915,1,net
126,tegen,265256,1,tegen
127,uw,264847,2,uw|uwe
128,jaar,264234,2,jaar|jaren
129,praten,258217,4,praten|praat|gepraat|praatte
130,zeg,254035,1,zeg
131,vrouw,253363,2,vrouw|vrouwen
132,omdat,252830,1,omdat
133,z,249724,1,z
134,hou,247154,1,hou
135,wij,242654,1,wij
136,altijd,234911,1,altijd
137,vraag,234403,2,vragen|vraag
138,zeker,233261,2,zeker|zekere
139,groot,230209,5,grote|groot|grootste|groter|grotere
140,proberen,230072,6,probeer|proberen|probeerde|probeert|geprobeerd|probeerden
141,kennen,224060,5,ken|kent|kennen|kende|kenden
142,wild,220402,2,wilde|wild
143,af,220034,1,af
144,moeder,217070,2,vader|moeders
145,wachten,216317,3,wacht|gewacht|wachtte
146,hun,215211,1,hun
147,huis,213487,2,huis|huisje
148,allemaal,210925,1,allemaal
149,jouwen,210824,1,jouw
150,kind,203970,3,kinderen|kind|kindje
151,gebeuren,203329,3,gebeurd|gebeuren|gebeurde
152,bedanken,201950,3,bedankt|bedanken|bedank
153,lang,199937,3,lang|langer|lange
154,keren,198876,2,keer|keert
155,staan,198828,3,staan|sta|stond
156,brengen,197580,6,brengen|breng|brengt|gebracht|bracht|brachten
157,mooi,196616,5,mooi|mooie|mooiste|mooier|moois
158,erg,196512,3,erg|ergste|ergs
159,zoals,195251,1,zoals
160,danken,194751,2,dank|danken
161,zij,193752,1,zij
162,bedoelen,193283,4,bedoel|bedoelt|bedoelde|bedoeld
163,halen,192730,5,halen|haal|gehaald|haalt|haalde
164,anders,189426,1,anders
165,gelden,187352,3,geld|geldt|gold
166,zich,187074,1,zich
167,begrijpen,186960,5,begrijp|begrepen|begrijpen|begrijpt|begreep
168,werken,186829,4,werken|werkt|gewerkt|werkten
169,voelen,184557,4,voel|voelt|voelen|voelde
170,vader,184258,2,moeder|vaders
171,zoeken,183791,5,zoek|zoeken|zoekt|zocht|zochten
172,mr,183677,1,mr
173,wissen,180478,3,wist|wisten|gewist
174,staat,180062,2,staat|staten
175,spijten,179198,1,spijt
176,werk,178658,1,werk
177,oh,177930,1,oh
178,hand,177051,3,hand|handen|handje
179,iedereen,176789,1,iedereen
180,leuk,175977,4,leuk|leuke|leuker|leuks
181,niemand,174437,1,niemand
182,niksen,171080,1,niks
183,binnen,167230,1,binnen
184,zit,167093,1,zitten
185,lijken,166638,3,lijkt|leek|lijk
186,uur,166093,3,uur|uren|uurtje
187,luisteren,164901,5,luister|luisteren|luistert|luisterde|geluisterd
188,na,162379,1,na
